#{"t_start": 1696590095.593497, "env_id": "None"}
r,l,t
784.520429,240,43086.987677
1089.752391,240,43107.545481
784.148685,240,43128.083557
986.754273,240,43148.611561
891.332403,240,43169.038654
989.503334,240,43189.523011
682.004248,240,43210.037062
679.770084,240,43230.513657
1193.241987,240,43250.976044
682.208708,240,43271.466338
889.510672,240,43291.994783
888.034377,240,43312.465454
786.124664,240,43332.970345
787.176335,240,43353.549366
682.519261,240,43374.076197
891.945127,240,43394.603355
579.771033,240,43415.199268
788.528113,240,43435.680251
989.43182,240,43456.192993
1189.404104,240,43476.684164
982.967531,240,43497.185225
889.447511,240,43517.671809
675.848145,240,43538.192857
782.981726,240,43558.599512
883.685824,240,43579.261663
475.079731,240,43599.806487
787.641717,240,43620.342862
991.496268,240,43640.874351
479.721746,240,43661.402961
1189.687747,240,43681.917151
1085.617637,240,43702.410168
686.441107,240,43723.027222
688.529383,240,43743.546767
784.287637,240,43764.099257
882.475772,240,43784.648829
586.942947,240,43805.136243
883.962588,240,43825.633158
887.602031,240,43846.133644
884.70143,240,43866.653303
989.034641,240,43887.221586
889.344191,240,43907.711763
891.400651,240,43928.248811
585.362261,240,43948.768575
986.108662,240,43969.243228
686.138692,240,43989.902491
792.373276,240,44010.446112
993.026204,240,44031.02972
784.488561,240,44051.496001
784.21724,240,44072.011097
780.297662,240,44092.697719
887.704772,240,44113.22003
681.851581,240,44133.735677
680.77655,240,44154.177868
783.378641,240,44174.708717
687.422242,240,44195.293596
679.787266,240,44215.837307
889.189011,240,44236.338295
987.073633,240,44256.831753
688.652991,240,44277.291377
789.893304,240,44297.794175
680.987165,240,44318.452167
892.211449,240,44338.96336
1094.125047,240,44359.470903
883.245216,240,44379.980307
785.657672,240,44400.456074
787.568448,240,44420.973798
786.833813,240,44441.446408
683.712307,240,44462.132967
892.463928,240,44482.786633
784.86168,240,44503.289915
890.105421,240,44523.811811
783.442161,240,44544.347907
785.638643,240,44564.886201
789.591019,240,44585.397358
574.12512,240,44605.872513
993.486855,240,44626.301591
678.006373,240,44646.804737
579.884617,240,44667.321147
786.789953,240,44687.816744
576.503326,240,44708.324545
889.069554,240,44728.7888
580.902849,240,44749.239035
990.733886,240,44769.716176
585.480641,240,44790.385851
580.81105,240,44810.960935
784.954133,240,44831.441036
683.64583,240,44851.949806
789.668253,240,44872.446426
788.273833,240,44893.176147
989.672554,240,44913.893712
583.450318,240,44934.383056
583.627213,240,44954.869613
683.688113,240,44975.397532
1085.785249,240,44995.929387
994.52329,240,45016.469702
685.473332,240,45036.924009
792.491876,240,45057.491426
986.459723,240,45078.011996
577.631092,240,45098.577958
676.385026,240,45119.103107
887.446472,240,45139.619228
785.054845,240,45160.178812
685.057878,240,45180.738865
891.121817,240,45201.292678
988.368877,240,45221.821167
786.879975,240,45242.276631
683.502334,240,45262.826871
785.391886,240,45283.318755
577.632018,240,45303.833727
990.109181,240,45324.344349
582.106969,240,45344.988447
1081.789833,240,45365.761805
784.061029,240,45386.326379
580.841186,240,45406.888326
582.366336,240,45427.416901
684.822946,240,45447.968771
992.876725,240,45468.51342
891.198855,240,45489.022211
679.472831,240,45509.594503
482.435939,240,45530.116708
685.832959,240,45550.618449
1095.386823,240,45571.098461
681.696927,240,45591.622046
889.013385,240,45612.178627
888.955886,240,45632.666348
782.499624,240,45653.175428
786.067878,240,45673.712795
684.448431,240,45694.283978
683.541288,240,45714.818107
785.294635,240,45735.348879
784.64402,240,45755.939442
881.37147,240,45776.487143
787.601317,240,45797.096124
890.80785,240,45817.5828
577.711797,240,45838.059021
793.896173,240,45858.563772
784.374466,240,45879.214771
792.328357,240,45899.72803
785.65062,240,45920.298775
587.132895,240,45940.86408
786.703523,240,45961.362712
890.796398,240,45981.849245
581.682366,240,46002.349668
577.609123,240,46022.845525
887.704183,240,46043.353743
581.881181,240,46063.870272
675.445862,240,46084.384757
684.253131,240,46104.875713
1189.840004,240,46125.437985
887.052219,240,46145.961525
579.433806,240,46166.488693
481.137225,240,46187.03321
684.454336,240,46207.5873
779.912238,240,46228.105056
683.327297,240,46248.583887
983.470064,240,46269.235842
688.214656,240,46289.750266
687.29965,240,46310.220883
687.983306,240,46330.732995
681.633269,240,46351.298668
785.426115,240,46371.780528
585.609971,240,46392.291107
578.637238,240,46412.90087
887.686057,240,46433.414556
682.346122,240,46453.954246
890.15203,240,46474.442343
678.118632,240,46494.943671
784.521587,240,46515.418743
1090.965671,240,46535.909701
681.323556,240,46556.398434
889.641304,240,46576.894196
684.984027,240,46597.42555
374.998464,240,46617.922418
1086.765224,240,46638.387356
583.500269,240,46658.982196
888.260878,240,46679.461356
1089.071048,240,46700.140305
782.746911,240,46720.601106
681.664058,240,46741.080816
677.744038,240,46761.560759
987.667629,240,46782.038153
786.851139,240,46802.54379
988.816719,240,46822.996021
785.006801,240,46843.442082
783.15058,240,46863.889116
985.923394,240,46884.385636
687.678093,240,46904.88008
986.120882,240,46925.34643
575.088037,240,46945.933261
684.560335,240,46966.457982
682.355436,240,46986.955686
684.629869,240,47007.410991
984.499284,240,47027.94772
892.692691,240,47048.455902
688.348908,240,47068.963475
986.295198,240,47089.376792
678.357278,240,47109.854902
680.445324,240,47130.340652
580.575926,240,47150.84323
781.779911,240,47171.612787
792.235704,240,47192.123618
582.41865,240,47212.621683
583.58037,240,47233.185636
991.199073,240,47253.739991
785.621111,240,47274.212701
885.503818,240,47294.736209
787.939059,240,47315.331342
1295.139908,240,47335.81948
680.727288,240,47356.323548
890.852362,240,47376.85477
887.597483,240,47397.330316
887.345927,240,47417.860605
883.924014,240,47438.343247
1192.782381,240,47458.824404
580.962513,240,47479.389762
987.891544,240,47499.910244
888.195454,240,47520.387888
681.101813,240,47540.963628
889.467371,240,47561.479874
890.71861,240,47581.980802
773.803831,240,47602.7418
682.374705,240,47623.229124
679.422427,240,47643.66175
992.402807,240,47664.255872
788.640565,240,47684.755401
1090.399151,240,47705.264507
989.222235,240,47725.810861
681.865096,240,47746.283096
889.2839,240,47766.829881
891.83406,240,47787.293123
580.268455,240,47807.810546
888.766542,240,47828.315188
685.483406,240,47848.763393
688.584145,240,47869.342668
682.997731,240,47889.883232
685.455458,240,47910.420336
681.883099,240,47930.888134
888.726783,240,47951.35138
889.975573,240,47971.867615
1187.205907,240,47992.345781
579.462248,240,48012.84382
580.719682,240,48033.358374
887.312399,240,48053.866717
1497.067726,240,48074.690231
582.740327,240,48095.2445
991.503279,240,48115.776691
881.164932,240,48136.305881
789.294982,240,48156.852322
990.538593,240,48177.298543
686.223399,240,48197.851864
783.301593,240,48218.447335
886.79209,240,48238.922333
886.448888,240,48259.423592
790.282907,240,48279.920904
